;;;;;;A00-B99;A15-A19,B90;A39;B15-B19;B20-B24;C00-D48;C00-C97;C00-C14;C15;C16;C18;C19-C21;C22-C25;C22;C25;C32-C34;C34;C43,C44;C43;C50;C51-C68;C53;C54-C55;C56;C61;C64;C67;C81-C96;C91-C95;D10-D36;D50-D89;E00-E90;E10-E14;F00-F99;F10;F11-F16,F18-F19;G00-H95;G00-G03;I00-I99;I10-I15;I20-I25;I21,I22;I30-I33,I39-I52;I34-I38;I60-I69;I64;I70-I79;J00-J99;J10-J11;J12-J18;J40-J47;J45-J46;K00-K93;K25-K28;K70-K77;K70,K73-K74;L00-L99;M00-M99;M05-M06,M15-M19;N00-N99;N00-N29;O00-O99;P00-P96;Q00-Q99;Q00-Q07;Q20-Q28;R00-R99;R95;R96-R99;A00-T98;V01-V99;W00-W19;W65-W74;X00-X09;X40-X49;X60-X84;X85-Y09;Y10-Y34;V-X59,Y40-86,88;V01-Y98
;;;;;;Best. infektiöse u. parasitäre Krankheiten (KH);Tuberkulose einschl. ihrer Folgezustände;Meningokokkeninfektion;Virushepatitis;HIV-Krankheit;Neubildungen;Bösartige Neubildungen (BN);BN d. Lippe, d. Mundhöhle u. d. Pharynx;BN des Ösophagus;BN des Magens;BN des Dickdarms;BN des Rektums u. d. Anus u. a. Rektosigmoid;BN der Leber, der Gallenwege und des Pankreas;BN der Leber u. d. intrahepatischen Gallengänge;BN des Pankreas;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;BN der Bronchien und Lunge;Melanom und sonstige BN der Haut;Bösartiges Melanom der Haut;BN der Brustdrüse;BN der Genital- und Harnorgane;BN der Cervix uteri;BN des Corpus uteri u. Uterus, Teil n. n. bez.;BN des Ovars;BN der Prostata;BN der Niere, ausgenommen Nierenbecken;BN der Harnblase;BN d. lymphat., blutbild. u. verwandten Gewebes;Leukämie;Gutartige Neubildungen;KH d. Blutes, blutbild. Org., best. Störungen(...);Endokrine, Ernährungs- u. Stoffwechselkrankh.;Diabetes mellitus;Psychische und Verhaltensstörungen;Psychische u. Verhaltensstörungen durch Alkohol;Psychische u. Verhaltensst. d. a. psychot. Subst.;Krankheiten d. Nervensystems u. d. Sinnesorgane;Meningitis;Krankheiten des Kreislaufsystems;Hypertonie (Hochdruckkrankheit);Ischämische Herzkrankheiten;Akuter Myokardinfarkt, Rezidiv. Myokardinfarkt;Sonstige Formen der Herzkrankheit;Sonstige Krankheiten des Endokards;Zerebrovaskuläre Krankheiten;Schlaganfall, nicht als Blutung oder Infarkt bez.;Krankheiten der Arterien, Arteriolen und Kapillare;Krankheiten des Atmungssystems;Grippe;Pneumonie;Chronische Krankheiten der unteren Atemwege;Asthma;Krankheiten des Verdauungssystems;Ulcus ventriculi, duodeni, pepticum, peptic. jejun;Krankheiten der Leber;Alkoh.Leberkh., Chron.Hepatitis, Leberfibr- u.-zir;Krankheiten der Haut und der Unterhaut;Kh d. Muskel-Skelett-Syst. u. d. Bindegewebes;Chronische Polyarthritis und Arthrose;Krankheiten des Urogenitalsystems;Krankheiten der Niere;Schwangerschaft, Geburt und Wochenbett;Best. Zust. d. i. Ursprung i. d. Perinatalp. haben;Angeb.Fehlbild., Deformit. u. Chromosomenanom.;Angeborene Fehlbildungen des Nervensystems;Angeborene Fehlbildungen des Kreislaufsystems;Symptome, abnorme klin. u. Laborbefunde (a.n.k.);Plötzlicher Kindstod;Sonst. ungenau bez. u. unbek. Todesursachen;Insgesamt;Transportmittelunfälle;Stürze;Ertrinken und Untergehen;Exposition gegenüber Rauch, Feuer und Flammen;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);Vorsätzliche Selbstbeschädigung;Tätlicher Angriff;Ereignis, dessen nähere Umstände unbest. sind;Unfälle einschl. Spätfolgen;Äußere Ursachen von Morbidität und Mortalität
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Köln, Regierungsbezirk;Bonn, krfr. Stadt;Anzahl;90;-;-;3;-;708;700;7;22;25;56;23;83;22;52;152;148;14;13;58;115;3;6;18;42;14;15;63;33;-;4;47;31;80;20;-;74;-;1003;80;274;146;325;34;153;53;78;232;-;59;104;-;123;7;43;37;5;6;-;79;46;-;4;3;-;-;169;-;146;2705;9;22;1;-;2;26;2;9;41;78
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Köln, Regierungsbezirk;Köln, krfr. Stadt;Anzahl;375;1;-;21;21;2614;2564;58;68;80;188;80;308;75;202;661;631;44;38;188;416;12;21;59;146;55;55;213;88;4;21;250;158;363;92;26;277;-;3171;298;920;469;893;117;499;128;285;804;3;255;364;17;462;22;146;138;23;12;2;297;220;-;18;15;3;2;482;1;369;9565;23;121;5;4;9;134;8;14;224;381
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Köln, Regierungsbezirk;Leverkusen, krfr. Stadt;Anzahl;60;-;-;1;2;457;450;12;9;20;26;17;59;19;37;114;108;6;5;31;69;2;4;10;22;7;8;42;18;2;11;36;24;50;9;2;51;1;617;38;192;96;186;19;104;40;48;147;-;52;61;1;70;4;20;20;4;7;-;63;41;-;-;1;-;-;87;-;74;1726;8;25;-;1;2;14;-;6;45;65
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Köln, Regierungsbezirk;Städteregion Aachen (einschl. Stadt Aachen);Anzahl;160;4;-;7;1;1568;1541;35;43;70;101;40;167;38;99;366;345;26;23;120;285;13;20;37;99;38;40;121;44;-;12;89;60;184;36;7;166;2;2070;143;715;329;517;103;326;131;150;479;-;102;259;4;211;16;59;53;19;15;1;166;98;-;6;7;-;-;293;1;242;5636;10;70;-;-;4;58;5;13;114;191
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Köln, Regierungsbezirk;Aachen, Kreis;Anzahl;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Köln, Regierungsbezirk;Düren, Kreis;Anzahl;81;1;-;3;-;818;808;21;19;22;74;31;80;27;46;178;173;13;9;62;145;4;10;23;39;24;17;68;33;-;8;65;39;65;12;3;95;1;1070;92;345;133;286;39;168;53;82;208;-;68;103;1;121;4;37;33;10;8;-;104;61;-;5;5;1;1;147;-;99;2901;6;27;1;1;1;21;1;8;61;91
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Köln, Regierungsbezirk;Rhein-Erft-Kreis;Anzahl;184;3;-;6;-;1322;1302;18;38;50;115;41;139;40;89;329;320;24;23;98;206;8;16;27;84;19;24;102;45;3;14;129;85;143;38;5;136;-;1695;146;477;215;542;60;230;72;138;386;-;109;158;4;212;14;69;67;14;9;1;150;87;-;10;8;-;-;245;1;207;4823;14;59;-;-;4;44;1;9;111;166
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Köln, Regierungsbezirk;Euskirchen, Kreis;Anzahl;61;-;-;4;5;558;552;9;14;18;42;16;63;20;37;142;138;11;10;46;91;5;3;7;35;10;10;45;19;1;5;21;17;70;18;1;70;-;805;38;263;121;211;33;147;70;71;186;-;35;109;2;102;10;37;36;7;6;1;69;51;-;-;4;-;1;106;-;96;2149;15;15;-;1;4;24;2;8;45;79
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Köln, Regierungsbezirk;Heinsberg, Kreis;Anzahl;83;1;-;-;-;762;748;6;14;26;62;25;82;12;62;221;219;4;4;42;134;5;9;13;53;19;13;49;20;-;7;62;37;82;10;5;76;-;1018;127;315;152;259;45;152;54;68;218;-;59;113;2;89;5;25;23;14;5;-;77;57;-;7;4;-;-;108;1;84;2677;8;27;-;2;1;10;4;7;44;65
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Köln, Regierungsbezirk;Oberbergischer Kreis;Anzahl;73;-;-;3;1;830;807;13;16;30;79;39;91;29;54;184;180;12;10;66;136;6;7;20;50;12;19;61;23;3;10;53;35;98;19;1;109;-;1176;115;357;161;322;35;196;62;107;222;1;72;105;3;117;5;40;36;8;10;-;76;48;1;7;5;1;-;109;-;84;3003;6;37;1;1;-;23;1;10;65;99
